Codi,Nom del centre d'estudi,Universitat,Població,Tipus de centre,Places orientatives,Preu orientatiu,Observacions
21114,Turisme (docència en Anglès),UAB,Cerdanyola del Vallès,U. Públ. CA,60,5.220 ,17
81039,Turisme,UdG,Girona,U. Públ.,70,N/A,16
61021,Turisme,UdL,Lleida,U. Públ.,35,N/A,16
61053,Turisme / Administració i Direcció d'Empreses (simultaneïtat),UdL,Lleida,U. Públ.,20,N/A,04-16
81085,Turisme / Estudis Globals / Global Studies (docència en Anglès) (simultaneïtat),UdG,Girona,U. Públ.,20,N/A,16
81076,Turisme / Geografia Territori i Medi Ambient (simultaneïtat),UdG,Girona,U. Públ.,10,N/A,04-16
81062,"Turisme / Màrqueting ""Mediterrani"" (simultaneïtat)",UdG,Barcelona,U. Públ. CA,25,6.685 ,04-17
11112,"Turisme / Negoci Digital i Innovació en Turisme ""CETT"" (simultaneïtat)",UB,Barcelona,U. Públ. CA,10,8.970 ,17
81077,Turisme / Publicitat i Relacions Públiques (simultaneïtat),UdG,Girona,U. Públ.,15,N/A,04-16
41035,"Turisme i Gestió del Lleure / Administració d'Empreses i Gestió de la Innovació ""Tecnocampus"" (simultaneïtat)",UPF,Mataró,U. Públ. CA,40,6.210 ,04-17
41062,"Turisme i Gestió del Lleure / Màrqueting i Comunitats Digitals ""Tecnocampus"" (simultaneïtat)",UPF,Mataró,U. Públ. CA,30,6.800 ,04-17
21083,Veterinària,UAB,Cerdanyola del Vallès,U. Públ.,115,N/A,16
61040,Veterinària / Ciència i Producció Animal (simultaneïtat),UdL,Lleida,U. Públ.,60,N/A,15-16
