Codi,Nom del centre de estudi,Població,Universitat,Tipus de centre,Places orientatives,Preu orientatiu,Observacions,PAU / CFGS,Més grans de 25 anys,Titulats universitaris,Més grans de 45 anys,Branca,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
11075,FARMÀCIA / NUTRICIÓ HUMANA I DIETÈTICA (SIMULTANEÏTAT),BARCELONA SANTA COLOMA DE GRAMENET,UB,U. PÚBL.,20,NAN,04-16,11.780,7.813,6.850,5.000,CS,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
11075,FARMÀCIA / NUTRICIÓ HUMANA I DIETÈTICA (SIMULTANEÏTAT),BARCELONA SANTA COLOMA DE GRAMENET,UB,U. PÚBL.,20,NAN,04-16,11.780,7.813,6.850,5.000,CS,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
11075,NUTRICIÓ HUMANA I DIETÈTICA / FARMÀCIA (SIMULTANEÏTAT),BARCELONA SANTA COLOMA DE GRAMENET,UB,U. PÚBL.,20,NAN,04-16,11.780,7.813,6.850,5.000,CS,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
11075,NUTRICIÓ HUMANA I DIETÈTICA / FARMÀCIA (SIMULTANEÏTAT),BARCELONA SANTA COLOMA DE GRAMENET,UB,U. PÚBL.,20,NAN,04-16,11.780,7.813,6.850,5.000,CS,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
11076,SEGURETAT,MOLLET DEL VALLÈS,UB,U. PÚBL. CA,60,NAN,16,9.080,6.250,5.000,6.167,CSJ,0,0,1,0,0,0,0,1,0,2,2,1,0,1,1,1,0,0,0,2,2,1,2,2,0,2,0
11077,CIÈNCIES DEL MAR,BARCELONA,UB,U. PÚBL.,60,NAN,16,10.228,8.813,8.010,5.000,C,0,0,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
11081,INFERMERIA (CAMPUS CLÍNIC),BARCELONA,UB,U. PÚBL.,135,NAN,16,11.976,7.219,8.400,6.833,CS,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
11082,LLENGÜES ROMÀNIQUES I LES SEVES LITERATURES,BARCELONA,UB,U. PÚBL.,40,NAN,16,5.000,5.000,5.000,5.000,AH,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,1,0,0,0,0,0,0,2,2
11083,MEDICINA (CAMPUS BELLVITGE),L'HOSPITALET DE LLOBREGAT,UB,U. PÚBL.,100,NAN,16,12.760,6.563,9.460,5.000,CS,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11086,"TURISME ""CETT"" (DOCÈNCIA EN ANGLÈS)",BARCELONA,UB,U. PÚBL. CA,65,6.974 ,17,5.000,5.000,5.000,5.000,CSJ,1,1,0,0,0,0,0,0,2,2,2,0,0,2,2,2,0,0,0,2,2,0,0,0,0,0,0
